Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Thu, Jul 2, 2015",KLAF,KTYQ,18:38,19:16,0.6 hrs,0.32 hrs,44.89 nm,5.83 gal,9.78 gal/hr,0.13 gal/nm,2725 msl,131 kts
"Thu, Jul 2, 2015",,,18:29,18:29,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Jul 2, 2015",KTYQ,KHVN,18:26,22:26,3.94 hrs,3.63 hrs,630.46 nm,30.11 gal,7.64 gal/hr,0.05 gal/nm,11052 msl,166 kts
"Thu, Jul 2, 2015",KTYQ,KLAF,11:33,12:06,0.54 hrs,0.29 hrs,43.21 nm,5.35 gal,10.01 gal/hr,0.12 gal/nm,2505 msl,143 kts
"Thu, Jul 2, 2015",,,10:50,10:51,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jul 1, 2015",,,14:28,14:28,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jul 1, 2015",KTYQ,KTYQ,12:35,13:42,1.06 hrs,0.82 hrs,131.87 nm,14.03 gal,13.22 gal/hr,0.11 gal/nm,3188 msl,150 kts
"Wed, Jul 1, 2015",,,12:07,12:07,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 30, 2015",,,17:14,17:15,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.02 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 30, 2015",KHVN,KTYQ,11:49,16:59,4.87 hrs,4.60 hrs,653.20 nm,65.61 gal,13.48 gal/hr,0.10 gal/nm,8018 msl,134 kts
"Tue, Jun 30, 2015",KPVD,KHVN,10:19,11:09,0.81 hrs,0.55 hrs,76.97 nm,9.35 gal,11.56 gal/hr,0.12 gal/nm,4019 msl,139 kts
"Tue, Jun 30, 2015",,,09:56,09:56,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 29, 2015",KBED,KPVD,21:02,01:49,0.77 hrs,0.34 hrs,47.22 nm,17.10 gal,22.11 gal/hr,0.36 gal/nm,4024 msl,138 kts
"Mon, Jun 29, 2015",,,20:56,20:57,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 29, 2015",KTEB,KBED,14:14,15:52,1.49 hrs,1.00 hrs,189.31 nm,21.14 gal,14.16 gal/hr,0.11 gal/nm,7012 msl,176 kts
"Mon, Jun 29, 2015",,,14:11,14:12,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 29, 2015",KBED,KTEB,07:16,08:43,1.36 hrs,1.08 hrs,179.97 nm,22.24 gal,16.37 gal/hr,0.12 gal/nm,6014 msl,156 kts
"Mon, Jun 29, 2015",,,07:10,07:11,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Jun 27, 2015",KACK,KBED,15:26,16:24,0.92 hrs,0.61 hrs,104.54 nm,12.21 gal,13.29 gal/hr,0.12 gal/nm,4028 msl,163 kts
"Sat, Jun 27, 2015",KBED,KACK,09:27,10:25,0.93 hrs,0.66 hrs,111.71 nm,13.92 gal,14.97 gal/hr,0.12 gal/nm,7013 msl,159 kts
"Fri, Jun 26, 2015",2B2,KBED,15:05,15:26,0.35 hrs,0.22 hrs,33.42 nm,4.51 gal,13.00 gal/hr,0.13 gal/nm,2518 msl,141 kts
"Fri, Jun 26, 2015",KBED,2B2,14:13,14:37,0.39 hrs,0.23 hrs,31.45 nm,4.63 gal,11.76 gal/hr,0.15 gal/nm,2521 msl,130 kts
"Fri, Jun 26, 2015",,,14:06,14:07,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Jun 25, 2015",KTEB,KBED,17:14,19:18,1.96 hrs,1.36 hrs,218.58 nm,25.89 gal,13.24 gal/hr,0.12 gal/nm,7012 msl,152 kts
"Thu, Jun 25, 2015",KTEB,KTEB,17:07,17:14,0.12 hrs,0.00 hrs,0.00 nm,0.30 gal,2.57 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Jun 25, 2015",,,09:54,09:54,0.01 hrs,0.00 hrs,0.00 nm,0.04 gal,3.72 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jun 24, 2015",KACK,KBED,13:37,14:43,1.03 hrs,0.82 hrs,127.73 nm,15.71 gal,15.20 gal/hr,0.12 gal/nm,4341 msl,147 kts
"Wed, Jun 24, 2015",KBED,KACK,10:58,11:51,0.84 hrs,0.59 hrs,106.10 nm,12.18 gal,14.59 gal/hr,0.11 gal/nm,7021 msl,169 kts
"Tue, Jun 23, 2015",KBED,KBED,11:30,11:37,0.12 hrs,0.00 hrs,0.00 nm,0.45 gal,3.77 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 23, 2015",KBED,KBED,07:48,08:02,0.23 hrs,0.00 hrs,0.00 nm,0.73 gal,3.16 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 22, 2015",,,17:02,17:02,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 22, 2015",KTEB,KBED,15:39,17:01,1.29 hrs,1.08 hrs,191.47 nm,21.49 gal,16.66 gal/hr,0.11 gal/nm,9017 msl,169 kts
